timestamp,PT_pt_face_amount,PT_cash,PT_pt_price,PT_implied_yield,PT_seconds_to_expiry,PT_pool_liquidity,PT_balance,net_balance
2025-09-29 03:00:00+00:00,10114.79404552231,0.0,0.9874915811088296,0.0776,5086800.0,137763612.8521,9988.273964603002,9988.273964603002
2025-09-29 04:00:00+00:00,10114.79404552231,0.0,0.9876615103810176,0.0766,5083200.0,137751382.6576,9989.992764193488,9989.992764193488
2025-09-29 05:00:00+00:00,10114.79404552231,0.0,0.9877829226557152,0.0759,5079600.0,137749949.738,9991.220824346654,9991.220824346654
2025-09-29 06:00:00+00:00,10114.79404552231,0.0,0.9877915811088296,0.0759,5076000.0,137774768.5586,9991.308402816658,9991.308402816658
2025-09-29 07:00:00+00:00,10114.79404552231,0.0,0.9876234314396533,0.077,5072400.0,137768483.891,9989.607603544117,9989.607603544117
2025-09-29 08:00:00+00:00,10114.79404552231,0.0,0.987792835957107,0.076,5068800.0,137803446.3272,9991.321095348543,9991.321095348543
2025-09-29 09:00:00+00:00,10114.79404552231,0.0,0.9875767967145791,0.0774,5065200.0,138018230.0297,9989.135902904622,9989.135902904622
2025-09-29 10:00:00+00:00,10114.79404552231,0.0,0.987473351585672,0.0781,5061600.0,138084306.6251,9988.089576730714,9988.089576730714
2025-09-29 11:00:00+00:00,10114.79404552231,0.0,0.98740212183436,0.0786,5058000.0,138075873.8748,9987.36910246628,9987.36910246628
2025-09-29 12:00:00+00:00,10114.79404552231,0.0,0.9872028747433265,0.0799,5054400.0,138054239.55,9985.353759176305,9985.353759176305
2025-09-29 13:00:00+00:00,10114.79404552231,0.0,0.9874040497376226,0.0787,5050800.0,138068020.5654,9987.38860281072,9987.38860281072
2025-09-29 14:00:00+00:00,10114.79404552231,0.0,0.9872690851015287,0.0796,5047200.0,137968948.8651,9986.023463313202,9986.023463313202
2025-09-29 15:00:00+00:00,10114.79404552231,0.0,0.987214236824093,0.08,5043600.0,138984459.3068,9985.468684283189,9985.468684283189
2025-09-29 16:00:00+00:00,10114.79404552231,0.0,0.9873032169746749,0.0795,5040000.0,138941019.4393,9986.368700180465,9986.368700180465
2025-09-29 17:00:00+00:00,10114.79404552231,0.0,0.9875516769336071,0.078,5036400.0,139005128.4611,9988.881821493622,9988.881821493622
2025-09-29 18:00:00+00:00,10114.79404552231,0.0,0.9875286789869953,0.0782,5032800.0,139054993.3236,9988.649202000173,9988.649202000173
2025-09-29 19:00:00+00:00,10114.79404552231,0.0,0.9875375998174766,0.0782,5029200.0,139095323.5921,9988.739434363206,9988.739434363206
2025-09-29 20:00:00+00:00,10114.79404552231,0.0,0.9878331736253707,0.0764,5025600.0,139135539.0393,9991.729102555306,9991.729102555306
2025-09-29 21:00:00+00:00,10114.79404552231,0.0,0.9876509240246406,0.0776,5022000.0,139168571.2505,9989.885685379042,9989.885685379042
2025-09-29 22:00:00+00:00,10114.79404552231,0.0,0.9876597764088524,0.0776,5018400.0,139141370.5348,9989.975225422157,9989.975225422157
2025-09-29 23:00:00+00:00,10114.79404552231,0.0,0.9878593201003879,0.0764,5014800.0,139159515.7256,9991.993568765121,9991.993568765121
2025-09-30 00:00:00+00:00,10114.79404552231,0.0,0.9879950718685832,0.0756,5011200.0,138922918.4992,9993.366669941732,9993.366669941732
2025-09-30 01:00:00+00:00,10114.79404552231,0.0,0.9880989048596851,0.075,5007600.0,138808320.5928,9994.41691926186,9994.41691926186
2025-09-30 02:00:00+00:00,10114.79404552231,0.0,0.9881233173625371,0.0749,5004000.0,138566325.0288,9994.663846700343,9994.663846700343
2025-09-30 03:00:00+00:00,10114.79404552231,0.0,0.9880843258042437,0.0752,5000400.0,138578473.6488,9994.26945511869,9994.26945511869
2025-09-30 04:00:00+00:00,10114.79404552231,0.0,0.988029568788501,0.0756,4996800.0,138623162.8857,9993.715599181905,9993.715599181905
2025-09-30 05:00:00+00:00,10114.79404552231,0.0,0.988117305498517,0.0751,4993200.0,138618169.7391,9994.60303793395,9994.60303793395
2025-09-30 06:00:00+00:00,10114.79404552231,0.0,0.987841273100616,0.0769,4989600.0,138710307.1177,9991.81102707929,9991.81102707929
2025-09-30 07:00:00+00:00,10114.79404552231,0.0,0.9878184462696783,0.0771,4986000.0,138706098.2858,9991.580138385643,9991.580138385643
2025-09-30 08:00:00+00:00,10114.79404552231,0.0,0.9878746064339493,0.0768,4982400.0,138686257.7642,9992.148186880806,9992.148186880806
2025-09-30 09:00:00+00:00,10114.79404552231,0.0,0.9879149212867899,0.0766,4978800.0,138691455.6138,9992.555963314266,9992.555963314266
2025-09-30 10:00:00+00:00,10114.79404552231,0.0,0.987892128678987,0.0768,4975200.0,138692520.9622,9992.325420780578,9992.325420780578
2025-09-30 11:00:00+00:00,10114.79404552231,0.0,0.9879008898015058,0.0768,4971600.0,138634192.693,9992.414037730463,9992.414037730463
2025-09-30 12:00:00+00:00,10114.79404552231,0.0,0.9880985626283367,0.0756,4968000.0,138631587.4704,9994.413457662255,9994.413457662255
2025-09-30 13:00:00+00:00,10114.79404552231,0.0,0.9880127994524298,0.0762,4964400.0,141061286.6682,9993.545980801266,9993.545980801266
2025-09-30 14:00:00+00:00,10114.79404552231,0.0,0.988021492128679,0.0762,4960800.0,141093612.1905,9993.63390543123,9993.63390543123
2025-09-30 15:00:00+00:00,10114.79404552231,0.0,0.9879202258726899,0.0769,4957200.0,141115797.2067,9992.60961810814,9992.60961810814
