timestamp,PT_pt_face_amount,PT_cash,MORPHO_collateral,MORPHO_debt,MORPHO_last_timestamp,MORPHO_is_liquidated,PT_pt_price,PT_implied_yield,PT_seconds_to_expiry,PT_pool_liquidity,MORPHO_collateral_price,MORPHO_debt_price,MORPHO_lending_rate,MORPHO_borrowing_rate,MORPHO_utilization,MORPHO_timestamp_seconds,PT_balance,MORPHO_balance,net_balance
2025-09-29 00:00:00+00:00,0.0,0.0,0.0,0.0,1759104000.0,False,0.9876265571526351,0.0766,5097600.0,138444828.1479,0.9876265571526351,1.0,0.0,0.06172180918392997,0.9027870402251761,1759104000.0,0.0,0.0,0.0
2025-09-29 01:00:00+00:00,0.0,4160.702964839866,36715.79336412758,30460.421115870136,1759107600.0,False,0.9876514373716633,0.0765,5094000.0,137900610.3574,0.9876514373716633,1.0,0.0,0.0599878936019433,0.9017952087875464,1759107600.0,4160.702964839866,5801.984974451443,9962.687939291309
2025-09-29 02:00:00+00:00,0.0,4160.702964839866,36715.79336412758,30460.629575015922,1759111200.0,False,0.9876440337668264,0.0766,5090400.0,137876344.9203,0.9876440337668264,1.0,0.0,0.05999105741216161,0.901795797782169,1759111200.0,4160.702964839866,5801.504686080323,9962.207650920189
2025-09-29 03:00:00+00:00,0.0,4160.702964839866,36715.79336412758,30460.85194679948,1759114800.0,False,0.9874915811088296,0.0776,5086800.0,137763612.8521,0.9874915811088296,1.0,0.0,0.06399444403623146,0.9040623007214255,1759114800.0,4160.702964839866,5795.68489400794,9956.387858847806
2025-09-29 04:00:00+00:00,0.0,4160.702964839866,36715.79336412758,30461.10329456644,1759118400.0,False,0.9876615103810176,0.0766,5083200.0,137751382.6576,0.9876615103810176,1.0,0.0,0.0723326625598289,0.9087547779052154,1759118400.0,4160.702964839866,5801.672634285147,9962.375599125013
2025-09-29 05:00:00+00:00,0.0,4160.702964839866,36715.79336412758,30461.322822137878,1759122000.0,False,0.9877829226557152,0.0759,5079600.0,137749949.738,0.9877829226557152,1.0,0.0,0.06317495044829648,0.9035806879945508,1759122000.0,4160.702964839866,5805.910854703379,9966.613819543245
2025-09-29 06:00:00+00:00,0.0,4160.702964839866,36715.79336412758,30461.52351521918,1759125600.0,False,0.9877915811088296,0.0759,5076000.0,137774768.5586,0.9877915811088296,1.0,0.0,0.05775440419976387,0.900494742842726,1759125600.0,4160.702964839866,5806.028063597478,9966.731028437343
2025-09-29 07:00:00+00:00,0.0,4160.702964839866,36715.79336412758,30461.724212535704,1759129200.0,False,0.9876234314396533,0.077,5072400.0,137768483.891,0.9876234314396533,1.0,0.0,0.057755242470122876,0.9004953171782006,1759129200.0,4160.702964839866,5799.6536177732305,9960.356582613096
2025-09-29 08:00:00+00:00,0.0,4160.702964839866,36715.79336412758,30461.924914087507,1759132800.0,False,0.987792835957107,0.076,5068800.0,137803446.3272,0.987792835957107,1.0,0.0,0.057756080741146215,0.9004958915269327,1759132800.0,4160.702964839866,5805.672737479206,9966.375702319072
2025-09-29 09:00:00+00:00,0.0,4160.702964839866,36715.79336412758,30462.125619874896,1759136400.0,False,0.9875767967145791,0.0774,5065200.0,138018230.0297,0.9875767967145791,1.0,0.0,0.05775691907954873,0.9004964658889212,1759136400.0,4160.702964839866,5797.539979504618,9958.242944344483
2025-09-29 10:00:00+00:00,0.0,4160.702964839866,36715.79336412758,30462.326329897824,1759140000.0,False,0.987473351585672,0.0781,5061600.0,138084306.6251,0.987473351585672,1.0,0.0,0.057757757385258235,0.9004970402641828,1759140000.0,4160.702964839866,5793.541199504212,9954.244164344078
2025-09-29 11:00:00+00:00,0.0,4160.702964839866,36715.79336412758,30462.52704415659,1759143600.0,False,0.98740212183436,0.0786,5058000.0,138075873.8748,0.98740212183436,1.0,0.0,0.05775859575834707,0.9004976146527168,1759143600.0,4160.702964839866,5790.725228414896,9951.428193254762
2025-09-29 12:00:00+00:00,0.0,4160.702964839866,36715.79336412758,30462.755283130802,1759147200.0,False,0.9872028747433265,0.0799,5054400.0,138054239.55,0.9872028747433265,1.0,0.0,0.06567882057281876,0.9049830011028135,1759147200.0,4160.702964839866,5783.1814744178955,9943.884439257761
2025-09-29 13:00:00+00:00,0.0,4160.702964839866,36715.79336412758,30462.983557319098,1759150800.0,False,0.9874040497376226,0.0787,5050800.0,138068020.5654,0.9874040497376226,1.0,0.0,0.06568846172910238,0.9049836256491474,1759150800.0,4160.702964839866,5790.339499750207,9951.042464590073
2025-09-29 14:00:00+00:00,0.0,4160.702964839866,36715.79336412758,30463.211866729784,1759154400.0,False,0.9872690851015287,0.0796,5047200.0,137968948.8651,0.9872690851015287,1.0,0.0,0.06569810505629622,0.9049842503694662,1759154400.0,4160.702964839866,5785.155856649231,9945.858821489097
2025-09-29 15:00:00+00:00,0.0,4160.702964839866,36715.79336412758,30463.41189445429,1759158000.0,False,0.987214236824093,0.08,5043600.0,138984459.3068,0.987214236824093,1.0,0.0,0.05755936178590544,0.9003507952825006,1759158000.0,4160.702964839866,5782.942030904018,9943.644995743884
2025-09-29 16:00:00+00:00,0.0,4160.702964839866,36715.79336412758,30463.61192554935,1759161600.0,False,0.9873032169746749,0.0795,5040000.0,138941019.4393,0.9873032169746749,1.0,0.0,0.05755995373637851,0.9003513684666882,1759161600.0,4160.702964839866,5786.008976631234,9946.7119414711
