strategy,median,p5,p95,p25,p75
Static,10185.770807114679,10047.203091023039,10338.94867311637,10120.667170331826,10236.564534096382
Hedged,10604.922523985166,10435.35758207791,10797.053899099483,10527.081989928916,10683.781410237923
