calibration_cycle,target_cycle,vol_calibration,vol_realised_target,vol_ratio
sUSDE-25SEP2025,sUSDE-27NOV2025,0.014143693776756127,0.007788488966667249,0.5506686647491564
sUSDE-25SEP2025,sUSDE-5FEB2026,0.014143693776756127,0.0034681490850972533,0.24520815706550722
sUSDE-25SEP2025,USDe-11DEC2025@Arb,0.014143693776756127,0.022177244762140152,1.567995257263448
sUSDE-25SEP2025,USDe-11DEC2025@Base,0.014143693776756127,0.06680556216880038,4.723346193947527
sUSDE-25SEP2025,weETH-27JUN2024@Eth-stress,0.014143693776756127,0.03188076901497627,2.2540624477722653
sUSDE-27NOV2025,sUSDE-25SEP2025,0.007788488966667249,0.014143693776756127,1.8159740403161047
sUSDE-27NOV2025,sUSDE-5FEB2026,0.007788488966667249,0.0034681490850972533,0.4452916477047151
sUSDE-27NOV2025,USDe-11DEC2025@Arb,0.007788488966667249,0.022177244762140152,2.8474386825291935
sUSDE-27NOV2025,USDe-11DEC2025@Base,0.007788488966667249,0.06680556216880038,8.577474071634585
sUSDE-27NOV2025,weETH-27JUN2024@Eth-stress,0.007788488966667249,0.03188076901497627,4.0933188904058095
sUSDE-5FEB2026,sUSDE-25SEP2025,0.0034681490850972533,0.014143693776756127,4.078167757416205
sUSDE-5FEB2026,sUSDE-27NOV2025,0.0034681490850972533,0.007788488966667249,2.245719193599443
sUSDE-5FEB2026,USDe-11DEC2025@Arb,0.0034681490850972533,0.022177244762140152,6.394547701953321
sUSDE-5FEB2026,USDe-11DEC2025@Base,0.0034681490850972533,0.06680556216880038,19.262598155271352
sUSDE-5FEB2026,weETH-27JUN2024@Eth-stress,0.0034681490850972533,0.03188076901497627,9.1924447977075
USDe-11DEC2025@Arb,sUSDE-25SEP2025,0.022177244762140152,0.014143693776756127,0.6377570310673358
USDe-11DEC2025@Arb,sUSDE-27NOV2025,0.022177244762140152,0.007788488966667249,0.35119281273223607
USDe-11DEC2025@Arb,sUSDE-5FEB2026,0.022177244762140152,0.0034681490850972533,0.15638322624359083
USDe-11DEC2025@Arb,USDe-11DEC2025@Base,0.022177244762140152,0.06680556216880038,3.0123472453551754
USDe-11DEC2025@Arb,weETH-27JUN2024@Eth-stress,0.022177244762140152,0.03188076901497627,1.4375441745316118
USDe-11DEC2025@Base,sUSDE-25SEP2025,0.06680556216880038,0.014143693776756127,0.2117143141617261
USDe-11DEC2025@Base,sUSDE-27NOV2025,0.06680556216880038,0.007788488966667249,0.11658443868772113
USDe-11DEC2025@Base,sUSDE-5FEB2026,0.06680556216880038,0.0034681490850972533,0.05191407679998467
USDe-11DEC2025@Base,USDe-11DEC2025@Arb,0.06680556216880038,0.022177244762140152,0.3319670405003702
USDe-11DEC2025@Base,weETH-27JUN2024@Eth-stress,0.06680556216880038,0.03188076901497627,0.47721728520780676
weETH-27JUN2024@Eth-stress,sUSDE-25SEP2025,0.03188076901497627,0.014143693776756127,0.44364343187932515
weETH-27JUN2024@Eth-stress,sUSDE-27NOV2025,0.03188076901497627,0.007788488966667249,0.24430053625772133
weETH-27JUN2024@Eth-stress,sUSDE-5FEB2026,0.03188076901497627,0.0034681490850972533,0.10878498832534622
weETH-27JUN2024@Eth-stress,USDe-11DEC2025@Arb,0.03188076901497627,0.022177244762140152,0.6956307971028615
weETH-27JUN2024@Eth-stress,USDe-11DEC2025@Base,0.03188076901497627,0.06680556216880038,2.0954815154370294
