final,apy,sharpe,max_drawdown,days,n_obs,strategy,cycle,chain
10200.798635538868,0.12232111460276003,9.033731489496311,-0.0032420076780600173,59.958333333333336,1440,PTNoLev,sUSDE-25SEP2025,ethereum
10046.43106555756,0.028284553209003926,3.0164271560751486,-0.012109584423345332,59.958333333333336,1440,Static,sUSDE-25SEP2025,ethereum
10046.43106555756,0.028284553209003926,3.0164271560751486,-0.012109584423345332,59.958333333333336,1440,Dynamic,sUSDE-25SEP2025,ethereum
10632.950990923433,0.3855766773061025,10.450731105157805,-0.009059403329743781,59.958333333333336,1440,Hedged-Active,sUSDE-25SEP2025,ethereum
10310.3650319722,0.18906600905269638,6.394657222678431,-0.01073602663479442,59.958333333333336,1440,Hedged-Boros,sUSDE-25SEP2025,ethereum
10114.79404552231,0.07111551965007598,9.90692309387633,-0.0009732429581551469,58.958333333333336,1416,PTNoLev,sUSDE-27NOV2025,ethereum
9988.368613667408,-0.007205705483498527,4.138814583399563,-0.0035530778068607657,58.958333333333336,1416,Static,sUSDE-27NOV2025,ethereum
9988.368613667408,-0.007205705483498527,4.138814583399563,-0.0035530778068607657,58.958333333333336,1416,Dynamic,sUSDE-27NOV2025,ethereum
10391.464086041065,0.242514076200422,13.279497034977783,-0.005869428682043805,58.958333333333336,1416,Hedged-Active,sUSDE-27NOV2025,ethereum
10169.761576235554,0.1051681962742663,8.367428350019605,-0.004273155443076691,58.958333333333336,1416,Hedged-Boros,sUSDE-27NOV2025,ethereum
10084.215395608444,0.05130174829073143,16.700697184557104,-0.00039664322140220177,59.958333333333336,1440,PTNoLev,sUSDE-5FEB2026,ethereum
9941.773944981707,-0.035469742758189704,6.7632255132654615,-0.0014508818786865781,59.958333333333336,1440,Static,sUSDE-5FEB2026,ethereum
9941.773944981707,-0.035469742758189704,6.7632255132654615,-0.0014508818786865781,59.958333333333336,1440,Dynamic,sUSDE-5FEB2026,ethereum
10325.374153228675,0.19820916102867006,25.943079283180747,-0.005261317194497068,59.958333333333336,1440,Hedged-Active,sUSDE-5FEB2026,ethereum
10114.394038692843,0.06968576394589675,15.720913165876544,-0.002089818594840388,59.958333333333336,1440,Hedged-Boros,sUSDE-5FEB2026,ethereum
9799.099592136063,-0.12238311155908803,3.004753903475283,-0.004562872689215739,59.958333333333336,1440,PTNoLev,USDe-11DEC2025@Arb,arbitrum
9406.714174047658,-0.3614137283042551,1.2931074364422332,-0.017706440391565836,59.958333333333336,1440,Static,USDe-11DEC2025@Arb,arbitrum
9406.714174047658,-0.3614137283042551,1.2931074364422332,-0.017706440391565836,59.958333333333336,1440,Dynamic,USDe-11DEC2025@Arb,arbitrum
9819.260189617149,-0.11010181916720417,4.817152369562161,-0.012924770343750018,59.958333333333336,1440,Hedged-Active,USDe-11DEC2025@Arb,arbitrum
9592.359881053932,-0.24832336919258086,2.8863103883949957,-0.015469093814693802,59.958333333333336,1440,Hedged-Boros,USDe-11DEC2025@Arb,arbitrum
9529.690181298089,-0.286500060510143,1.5085155593857382,-0.020852360265829428,59.958333333333336,1440,PTNoLev,USDe-11DEC2025@Base,base
8780.042219726241,-0.743165385815133,0.6767152634020226,-0.0718309709606073,59.958333333333336,1440,Static,USDe-11DEC2025@Base,base
8780.042219726241,-0.743165385815133,0.6767152634020226,-0.0718309709606073,59.958333333333336,1440,Dynamic,USDe-11DEC2025@Base,base
9167.542130229054,-0.5071108885623429,1.8499235724839782,-0.07043541486522593,59.958333333333336,1440,Hedged-Active,USDe-11DEC2025@Base,base
8954.417179452503,-0.63694086205138,1.2065605158484334,-0.07110568877710108,59.958333333333336,1440,Hedged-Boros,USDe-11DEC2025@Base,base
10522.336471393191,0.31819329452624895,9.961326232879747,-0.005113414349206771,59.958333333333336,1436,PTNoLev,weETH-27JUN2024@Eth-stress,ethereum
11021.141672954172,0.6220519739483171,6.966554578399806,-0.01664155663770804,59.958333333333336,1436,Static,weETH-27JUN2024@Eth-stress,ethereum
11021.141672954172,0.6220519739483171,6.966554578399806,-0.01664155663770804,59.958333333333336,1436,Dynamic,weETH-27JUN2024@Eth-stress,ethereum
12129.981869148152,1.297527523624232,12.820720200627402,-0.016366913091154508,59.958333333333336,1436,Hedged-Active,weETH-27JUN2024@Eth-stress,ethereum
11520.119761241453,0.9260159713024716,9.662846531761042,-0.01651782413159577,59.958333333333336,1436,Hedged-Boros,weETH-27JUN2024@Eth-stress,ethereum
